Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes,gap_between_netflix_release_and_release,Country Count,Language Count,is_hidden_gem,year_added
The Dog Who Saved Summer,,"Children & Family Movies,Animal Tales,Comedies,Family Comedies,Family Cozy Time",English,Movie,7.2,,1-2 hour,Sean Olson,"Richard Gnolfo, Michael Ciminera, Peter Sullivan, Jeffrey Schenck","Gary Valentine, Patrick Muldoon, Dean Cain, Elisa Donovan",PG,4.2,50.0,,,,,2015-06-09,2020-08-02,128.0,1881.0,1,1,False,2020
2 Minutes of Fame,,Comedies,English,Movie,7.4,,1-2 hour,Leslie Small,"Devon Shepard, Yamara Taylor","Andy Allo, Keke Palmer, RonReaco Lee, Deon Cole",R,5.2,,,,,,2020-06-16,2020-08-02,399.0,47.0,1,1,False,2020
EXTREME CHOCOLATE MAKERS,,"Reality TV,British Programmes,Food & Travel TV,Family Watch Together TV,Lifestyle",English,Series,,,< 30 minutes,,,Rufus Hound,,,,,,,,2019-04-21,2020-08-01,,468.0,1,1,False,2020
Dont Tell the Bride,,"Reality TV,Wedding & Romance Reality TV,British Programmes",Hindi,Series,3.8,,< 30 minutes,Farhan Akhtar,"Farhan Akhtar, Javed Akhtar, Salim Khan","Priyanka Chopra, Shah Rukh Khan, Isha Koppikar, Arjun Rampal",Not Rated,7.2,78.0,,1.0,11.0,,2006-10-20,2020-08-01,34427.0,5034.0,1,1,False,2020
The Nightingale,,"Australian Films,Dramas,Tearjerkers,Independent Films,Thrillers,Period Pieces","English, Irish, Aboriginal",Movie,3.9,,> 2 hrs,Jennifer Kent,Jennifer Kent,"Charlie Jampijinpa Brown, Baykali Ganambarr, Aisling Franciosi, Damon Herriman",R,7.3,86.0,77.0,25.0,34.0,,2019-08-29,2020-08-01,21684.0,338.0,1,3,False,2020
Five,,"Comedies,French Movies,French Comedies",French,Movie,6.7,,1-2 hour,Igor Gotesman,"Alice Vial, Igor Gotesman, Mathieu Oullion","Pierre Niney, François Civil, Margot Bancilhon, Igor Gotesman",,6.3,,,,,,2016-03-30,2020-08-01,2805.0,1585.0,2,1,False,2020
Tchoupi,,"Children & Family Films,Films Based on Books","English, German, Spanish",Movie,2.8,,1-2 hour,Robert Altman,Anne Rapp,"Laura Dern, Helen Hunt, Farrah Fawcett, Richard Gere",R,4.6,57.0,64.0,,4.0,,2000-10-13,2020-08-01,17737.0,7232.0,3,3,False,2020
21 Bridges,,"Action & Adventure,Dramas,Crime Movies,Crime Dramas,Crime Action & Adventure",English,Movie,2.8,,1-2 hour,Brian Kirk,"Adam Mervis, Matthew Michael Carnahan","Sienna Miller, Stephan James, J.K. Simmons, Chadwick Boseman",R,6.6,53.0,51.0,,2.0,,2019-11-22,2020-08-01,50392.0,253.0,5,1,False,2020
Green Gold,,"Romantic Dramas,Czech Movies,Romantic Comedies,Dramas,Comedies,Romantic Movies,Musicals,Classic Dramas,Classic Movies,Classic Comedies,Music & Musicals,Romantic Favorites",Spanish,Movie,9.5,,1-2 hour,Ignacio Busquier,,"Horizonte Pinuet, Esteban Safaniuk, Antonina Makaruk, Hernán Safaniuk",,9.0,,,,,,2010-05-21,2020-08-01,7.0,3725.0,2,1,True,2020
You Take the Kids!,,"Czech Movies,Comedies",English,Movie,8.7,,1-2 hour,,Stephen Nathan,"Caryn Ward, Roger E. Mosley, Nell Carter, Yasiin Bey",TV-G,7.5,,,,,,1990-12-15,2020-08-01,8.0,10822.0,2,1,True,2020
Zero distance,,"Dramas,Middle-Eastern Films,Mysteries",Arabic,Movie,8.4,,1-2 hour,Abdulaziz Alshlahei,Mufarrij Almajfel,"Yacob Alfarhan, Abdullah Alzaid, Khalid Al-Saqer, Osamah Salih",,7.0,,,,,,2020-07-31,2020-08-01,210.0,1.0,1,1,False,2020
No Manches Frida,,Comedies,Spanish,Movie,5.7,,1-2 hour,Nacho G. Velilla,"Laurence Rosenthal, Claudio Herrera, Bora Dagtekin, Sergio Sánchez","Mónica Dionne, Omar Chaparro, Rocio Garcia, Martha Higareda",PG-13,5.5,13.0,,,,,2016-09-02,2020-08-01,2046.0,1429.0,3,1,False,2020
