Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes,gap_between_netflix_release_and_release,Country Count,Language Count,is_hidden_gem,year_added
Lets Fight Ghost,,"Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Series,4.3,,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",R,7.9,98.0,82.0,74.0,57.0,,2008-12-12,2021-03-04,205926.0,4465.0,1,2,False,2021
HOW TO BUILD A GIRL,,"Dramas,Comedies,Films Based on Books,British",English,Movie,7.0,,1-2 hour,Coky Giedroyc,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",R,5.8,79.0,69.0,1.0,,,2020-05-08,2021-03-04,2838.0,300.0,1,1,False,2021
Centigrade,,Thrillers,English,Movie,6.4,,1-2 hour,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza",Unrated,4.3,,46.0,,,,2020-08-28,2021-03-04,1720.0,188.0,1,1,False,2021
ANNE+,,"TV Dramas,Romantic TV Dramas,Dutch TV Shows",Turkish,Series,7.7,,< 30 minutes,,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",,6.5,,,1.0,,,2016-10-01,2021-03-04,1147.0,1615.0,2,1,False,2021
Moxie,,"Social Issue Dramas,Teen Movies,Dramas,Comedies,Movies Based on Books",English,Movie,8.1,,1-2 hour,Stephen Irwin,,Ragga Gudrun,,6.3,,,,4.0,,2011-09-22,2021-03-04,63.0,3451.0,36,1,False,2021
The Con-Heartist,,"Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Thai,Movie,8.6,,> 2 hrs,Mez Tharatorn,"Pattaranad Bhiboonsawade, Thodsapon Thiptinnakorn, Mez Tharatorn","Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",,7.4,,,,,,2020-12-03,2021-03-03,131.0,90.0,1,1,False,2021
Gleboka woda,,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",Polish,Series,8.7,,< 30 minutes,,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",,7.5,,,2.0,4.0,,2011-06-14,2021-03-03,47.0,3550.0,1,1,True,2021
Instynkt,,"TV Dramas,Crime TV Dramas,Polish TV Shows",Polish,Series,6.9,,< 30 minutes,,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",,3.9,,,,,,2011-03-03,2021-03-03,107.0,3653.0,1,1,False,2021
Only a Mother,,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Swedish,Movie,8.3,,1-2 hour,Alf Sjöberg,Ivar Lo-Johansson,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",,6.7,,,2.0,1.0,,1949-10-31,2021-03-03,88.0,26056.0,14,1,False,2021
Snowroller,,"Sports Movies,Sports Comedies,Comedies,Swedish Movies","Swedish, English, German, Norwegian",Movie,5.3,,1-2 hour,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",,6.6,,,,,,1985-10-04,2021-03-03,5926.0,12934.0,17,4,False,2021
Sunes Summer,,"Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,Swedish Movies",Swedish,Movie,7.5,,1-2 hour,Jon Holmberg,"Jon Holmberg, Daniella Mendel-Enk, Sara Young, Anders Jacobsson, Sören Olsson","Elis Gerdt, Tea Stjärne, Fredrik Hallgren, Baxter Renman",,5.5,,,,7.0,,2018-11-30,2021-03-03,560.0,824.0,17,1,False,2021
The Invisible,,"Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",English,Movie,2.0,,1-2 hour,David S. Goyer,"Christine Roum, Mats Wahl, Mick Davis","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",PG-13,6.2,20.0,36.0,,1.0,,2007-04-27,2021-03-03,34738.0,5059.0,15,1,False,2021
The Simple Minded Murderer,,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies","Scanian, Swedish",Movie,7.8,,1-2 hour,Hans Alfredson,Hans Alfredson,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",,7.6,92.0,,7.0,2.0,,1985-09-01,2021-03-03,2870.0,12967.0,17,2,False,2021
The Stig-Helmer Story,,"Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Swedish Movies","Swedish, English",Movie,6.4,,1-2 hour,Lasse Åberg,Lasse Åberg,"Jon Skolmen, Ida Högberg, Lasse Åberg, Tobias Jacobsson",,4.5,,,,1.0,,2011-12-25,2021-03-03,1666.0,3356.0,17,2,False,2021
To Kill a Child,,"Dramas,Swedish Movies",Spanish,Movie,8.8,,< 30 minutes,"José Esteban Alenda, César Esteban Alenda","José Esteban Alenda, Victoria Ruiz, César Esteban Alenda","Manolo Solo, Roger Príncep, Cristina Marcos, Roger Álvarez",,7.7,,,2.0,5.0,,2011-02-07,2021-03-03,78.0,3677.0,17,1,False,2021
Joker,,"Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,,1-2 hour,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",R,8.4,68.0,59.0,112.0,228.0,,2019-10-04,2021-03-03,951938.0,516.0,12,1,False,2021
I,,"Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,,1-2 hour,George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",PG,6.5,52.0,51.0,26.0,69.0,,1999-05-19,2021-03-03,733336.0,7959.0,15,2,False,2021
Harrys Daughters,,"Dramas,Swedish Movies",English,Movie,4.4,,1-2 hour,David Yates,"Steve Kloves, J.K. Rowling","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",PG-13,8.1,96.0,85.0,46.0,94.0,,2011-07-15,2021-03-03,766594.0,3519.0,17,1,False,2021
Gyllene Tider,,"Music & Musicals,Swedish Movies,Music & Concert Documentaries,Documentary Films,Concerts",Swedish,Movie,8.8,,30-60 mins,Lasse Hallström,,"Micke Andersson, Anders Herrlin, Göran Fritzson, Per Gessle",,7.7,,,,,,,2021-03-03,19.0,,17,1,True,2021
False As Water,,"Psychological Thrillers,Dramas,Thriller Movies,Swedish Movies",Swedish,Movie,7.9,,1-2 hour,Hans Alfredson,Hans Alfredson,"Marie Göranzon, Stellan Skarsgård, Sverre Anker Ousdal, Malin Ek",,6.3,,,3.0,,,1985-11-08,2021-03-03,546.0,12899.0,17,1,False,2021
Bang!,,"Dramas,Movies Based on Books,Swedish Movies",,Movie,7.7,,1-2 hour,Robert Breer,,,,5.6,,,,,,,2021-03-03,197.0,,17,0,False,2021
A Guest Is Coming,,"Crime Movies,Thriller Movies,Mysteries,Crime Thrillers,Classic Movies,Swedish Movies",Swedish,Movie,7.7,,1-2 hour,Arne Mattsson,Stieg Trenter,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",,5.4,,,,,,1947-11-03,2021-03-03,46.0,26784.0,17,1,True,2021
1939,,"Swedish Movies,Dramas",Swedish,Movie,7.6,,> 2 hrs,Göran Carmback,"Catti Edfeldt, Kjell Sundstedt, Brasse Brännström","Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",,5.5,,,,,,1989-12-25,2021-03-03,364.0,11391.0,17,1,False,2021
Girls und Panzer das Finale,,"Drama Anime,Action & Adventure,Action Anime,Anime Movies,Japanese Movies,School Anime,Military & War Anime",Japanese,Series,8.5,,< 30 minutes,Tsutomu Mizushima,Reiko Yoshida,"Mami Ozaki, Ikumi Nakagami, Mai Fuchigami, Ai Kayano",,7.3,,,,,,2017-12-09,2021-03-02,210.0,1179.0,1,1,False,2021
Indoo Ki Jawani,,"Action & Adventure,Bollywood Films,Comedies,Adventures,Romantic Films,Indian Films,Hindi-language Films",Hindi,Movie,3.9,,1-2 hour,Abir Sengupta,Abir Sengupta,"Rakesh Bedi, Aditya Seal, Kiara Advani, Iqbal Khan",,1.4,,,,,,2020-12-11,2021-03-02,3505.0,81.0,17,1,False,2021
The Coroner,,"Mystery Programmes,Drama Programmes,Crime TV Dramas,Canadian TV Programmes,TV Programmes Based on Books",English,Series,7.8,,< 30 minutes,,Sally Abbott,"Beatie Edney, Claire Goose, Oliver Gomm, Matt Bardock",TV-14,7.0,,,,,,2015-11-16,2021-03-02,1328.0,1933.0,1,1,False,2021
Brave New World,,"TV Dramas,US TV Shows,TV Shows Based on Books,Sci-Fi TV",English,Series,3.8,,< 30 minutes,,"David Wiener, Brian Taylor, Grant Morrison","Nina Sosanya, Harry Lloyd, Jessica Brown Findlay, Alden Ehrenreich",TV-MA,7.1,,,,,,2020-07-15,2021-03-02,9408.0,230.0,6,1,False,2021
Comrades: Almost a Love Story,,"Romantic Dramas,Chinese Movies,Dramas,Romantic Movies,Hong Kong Movies,Romantic Favorites","Cantonese, Mandarin, English",Movie,6.7,,1-2 hour,Peter Ho-Sun Chan,Ivy Ho,"Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung",,8.1,89.0,,23.0,8.0,,1996-11-02,2021-03-01,5047.0,8885.0,1,3,False,2021
The Closet,,"Korean Movies,Horror Movies,Mysteries",French,Movie,3.8,,1-2 hour,Francis Veber,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",R,7.0,85.0,72.0,1.0,1.0,,2001-08-10,2021-03-01,16657.0,7143.0,1,1,False,2021
The Mysterians,,"Sci-Fi & Fantasy,Alien Sci-Fi,Japanese Movies,Classic Movies","Japanese, English",Movie,7.1,,1-2 hour,Ishirô Honda,"Shigeru Kayama, Jôjirô Okami, Takeshi Kimura","Yumi Shirakawa, Akihiko Hirata, Kenji Sahara, Momoko Kôchi",TV-Y7,6.2,51.0,,,,,1959-05-15,2021-03-01,1383.0,22571.0,1,2,False,2021
No Longer Human,,"Romantic Dramas,Dramas,Romantic Movies,Japanese Movies",Japanese,Movie,7.8,,> 2 hrs,Mika Ninagawa,Kaeko Hayafune,"Tatsuya Fujiwara, Kengo Kôra, Yûdai Chiba, Rie Miyazawa",,5.9,,,,2.0,,2019-09-13,2021-03-01,379.0,535.0,1,1,False,2021
Repast,,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Movie,8.4,,1-2 hour,Mikio Naruse,"Sumie Tanaka, Yasunari Kawabata, Fumiko Hayashi, Toshirô Ide","Yukiko Shimazaki, Setsuko Hara, Ken Uehara, Yôko Sugi",,7.7,87.0,,9.0,,,1951-11-23,2021-03-01,1355.0,25301.0,1,1,False,2021
Sway,,"Courtroom Dramas,Dramas,Mysteries,Japanese Movies",Japanese,Movie,8.5,,1-2 hour,Miwa Nishikawa,Miwa Nishikawa,"Masatô Ibu, Hirofumi Arai, Joe Odagiri, Teruyuki Kagawa",,7.2,86.0,,10.0,4.0,,2006-07-08,2021-03-01,963.0,5350.0,1,1,False,2021
When a Woman Ascends the Stairs,,"Social Issue Dramas,Dramas,Japanese Movies,Classic Movies",Japanese,Movie,7.6,,1-2 hour,Mikio Naruse,Ryûzô Kikushima,"Hideko Takamine, Tatsuya Nakadai, Masayuki Mori, Reiko Dan",Not Rated,8.1,100.0,,,,,1963-06-25,2021-03-01,3771.0,21069.0,1,1,False,2021
Yearning,,"Romantic Dramas,Dramas,Romantic Movies,Japanese Movies,Classic Movies",Japanese,Movie,8.5,,1-2 hour,Mikio Naruse,"Zenzô Matsuyama, Mikio Naruse","Hideko Takamine, Yumi Shirakawa, Mitsuko Kusabue, Yûzô Kayama",,8.1,88.0,,1.0,,,1964-10-23,2021-03-01,1359.0,20583.0,1,1,False,2021
Gorath,,"Sci-Fi & Fantasy,Japanese Movies","Japanese, English",Movie,7.0,,1-2 hour,Ishirô Honda,"John Meredyth Lucas, Jôjirô Okami, Takeshi Kimura","Yumi Shirakawa, Kumi Mizuno, Akira Kubo, Ryô Ikebe",Not Rated,5.8,35.0,,,,,1964-05-15,2021-03-01,636.0,20744.0,1,2,False,2021
Ginza Cosmetics,,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies","Japanese, English",Movie,7.7,,1-2 hour,Mikio Naruse,"Matsuo Kishi, Tomoichirô Inoue","Yûji Hori, Kyôko Kagawa, Ranko Hanai, Kinuyo Tanaka",,6.9,45.0,,,,,1951-04-14,2021-03-01,279.0,25524.0,1,2,False,2021
Floating Clouds,,"Romantic Dramas,Social Issue Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Movie,7.8,,> 2 hrs,Mikio Naruse,"Yôko Mizuki, Fumiko Hayashi","Hideko Takamine, Isao Yamagata, Mariko Okada, Masayuki Mori",,7.7,83.0,,9.0,,,1980-06-06,2021-03-01,2395.0,14878.0,1,1,False,2021
Cheer Boys!!,,"Teen Movies,Dramas,Sports Dramas,Movies Based on Books,Japanese Movies,Youth Movies,Japanese Youth Dramas",Japanese,Movie,8.2,,1-2 hour,,,"Jarrod Greene, Cris George, Dallas Reid, Justin Pate",TV-14,6.4,,,,,,2016-07-05,2021-03-01,70.0,1700.0,1,1,False,2021
365 Nights,,"Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Movie,7.7,,1-2 hour,Kon Ichikawa,"Kennosuke Tateoka, Masajiro Tojima","Hideko Takamine, Chizuko Nogami, Yûji Hori, Ken Uehara",,5.5,,,,,,,2021-03-01,6.0,,1,1,True,2021
Restart After Come Back Home,,"Romantic Dramas,Dramas,LGBTQ Movies,Romantic Movies,Japanese Movies",Japanese,Movie,8.6,,1-2 hour,Ryûta Inoue,Kumiko Satô,"Masahiro Kômoto, Yukijirô Hotaru, Eri Murakawa, Yûki Furukawa",,7.2,,,,,,2020-09-04,2021-03-01,80.0,178.0,1,1,False,2021
Trial by Fire,,"Films Based on Real Life,Social Issue Dramas,Dramas",English,Movie,6.2,,> 2 hrs,Edward Zwick,"Geoffrey Fletcher, David Grann","Laura Dern, Jack O'Connell, Emily Meade, Chris Coy",R,6.9,61.0,51.0,,,,2019-05-17,2021-03-01,3657.0,654.0,1,1,False,2021
5 Minute,,"Social Issue Dramas,Dramas,LGBTQ Movies,Independent Movies",English,Movie,9.3,,1-2 hour,,,Jeff Lewis,,8.6,,,,3.0,,2010-10-12,2021-03-01,41.0,3793.0,1,1,True,2021
Dilili in Paris,,"Children & Family Movies,Family Adventures,Animated Movies",French,Movie,7.3,,1-2 hour,Michel Ocelot,Michel Ocelot,"Prunelle Charles-Ambron, Bruno Paviot, Natalie Dessay, Enzo Ratsito",PG,7.0,,37.0,1.0,2.0,,2019-10-04,2021-03-01,816.0,514.0,2,1,False,2021
All of Us,,"Belgian Movies,Dramas,Documentary Films",English,Movie,7.3,,1-2 hour,,"Jada Pinkett Smith, Will Smith, Betsy Borns","Duane Martin, Khamani Griffin, LisaRaye McCoy, Tony Rock",,5.9,,,,12.0,,2003-09-16,2021-03-01,1280.0,6376.0,1,1,False,2021
Years and Years,,"TV Dramas,Political TV Shows,British",English,Series,4.2,,< 30 minutes,,Russell T. Davies,"Anne Reid, T'Nia Miller, Rory Kinnear, Ruth Madeley",TV-MA,8.3,,,1.0,14.0,,2019-06-24,2021-03-01,22324.0,616.0,1,1,False,2021
The New Pope,,"TV Dramas,Italian TV Shows","English, Italian",Series,4.1,,< 30 minutes,,Paolo Sorrentino,"Jude Law, Cécile de France, Silvio Orlando, John Malkovich",TV-MA,8.2,,,4.0,,,2020-01-13,2021-03-01,12101.0,413.0,2,2,False,2021
Life and Nothing But,,"Dramas,Period Pieces,Award-winning Dramas,French",French,Movie,8.2,,> 2 hrs,Bertrand Tavernier,"Jean Cosmos, Bertrand Tavernier","Maurice Barrier, Philippe Noiret, Sabine Azéma, Pascale Vignal",PG,7.4,86.0,,9.0,14.0,,1989-09-06,2021-03-01,1568.0,11499.0,2,1,False,2021
Let Joy Reign Supreme,,"Dramas,Period Pieces,French","French, Breton",Movie,8.1,,1-2 hour,Bertrand Tavernier,"Jean Aurenche, Bertrand Tavernier","Philippe Noiret, Christine Pascal, Jean-Pierre Marielle, Jean Rochefort",Not Rated,7.1,79.0,,5.0,3.0,,1975-03-26,2021-03-01,1305.0,16777.0,2,2,False,2021
Coup de Torchon,,"Dramas,Comedies,Movies Based on Books,French","French, English",Movie,6.4,,> 2 hrs,Bertrand Tavernier,"Jean Aurenche, Jim Thompson, Bertrand Tavernier","Jean-Pierre Marielle, Philippe Noiret, Isabelle Huppert, Stéphane Audran",Not Rated,7.5,83.0,,2.0,11.0,,1981-11-04,2021-03-01,5058.0,14362.0,2,2,False,2021
Valley of the Gods,,"Dramas,Polish Movies,Polish Dramas",English,Movie,7.0,,> 2 hrs,Lech Majewski,Lech Majewski,"Josh Hartnett, Bérénice Marlohe, Keir Dullea, John Malkovich",TV-14,4.5,,,,2.0,,2020-08-11,2021-03-01,494.0,202.0,1,1,False,2021
Framing John DeLorean,,"Biographical Documentaries,Dramas,Documentary Films",English,Movie,8.0,,1-2 hour,"Don Argott, Sheena M. Joyce","Alexandra Orton, Dan Greeney","Morena Baccarin, Alec Baldwin, Dean Winters, Josh Charles",Unrated,6.5,90.0,67.0,,,,2019-06-07,2021-03-01,1398.0,633.0,1,1,False,2021
Critters Attack!,,"Dark Comedies,Sci-Fi & Fantasy,Comedies,Creature Features,Horror Movies,Horror Comedies",English,Movie,6.0,,1-2 hour,Bobby Miller,Scott Lobdell,"Tashiana Washington, Jaeden Noel, Jack Fulton, Ava Preston",R,3.7,44.0,,,,,2020-11-06,2021-03-01,2050.0,115.0,5,1,False,2021
The Bold Type,,"TV Comedies,TV Dramas,US TV Shows",English,Series,4.1,,< 30 minutes,,Sarah Watson,"Meghann Fahy, Melora Hardin, Katie Stevens, Aisha Dee",TV-14,8.0,,,2.0,14.0,,2017-06-20,2021-03-01,9767.0,1350.0,27,1,False,2021
Alice,,"TV Mysteries,TV Dramas,Korean TV Shows,TV Thrillers,Futuristic Sci-Fi,Sci-Fi TV","English, Cantonese",Series,3.5,,< 30 minutes,Woody Allen,Woody Allen,"June Squibb, Mia Farrow, William Hurt, Joe Mantegna",PG-13,6.6,75.0,67.0,1.0,7.0,,1991-01-10,2021-03-01,13379.0,11008.0,26,2,False,2021
Lobster Cop,,"Dark Comedies,Action & Adventure,Chinese Movies,Comedies,Crime Action & Adventure,Action Comedies,Mainland Chinese Movies",Mandarin,Movie,7.5,,1-2 hour,Xinyun Li,"Jiuwei Fan, Xun Lu","Hua Liu, You Zhou, Qianyuan Wang, Shanshan Yuan",,5.1,,,,,,2018-06-22,2021-02-28,143.0,982.0,1,1,False,2021
Magic hour,,"Korean Movies,Dramas,Independent Movies",English,Movie,7.7,,1-2 hour,Cole Mueller,Cole Mueller,"Kris Lemche, C. Thomas Howell, Trevor Morgan, William Russ",,5.5,,,,,,,2021-02-28,90.0,,1,1,False,2021
Marionette,,"Korean Movies,Thriller Movies,Mysteries,Crime Thrillers",English,Movie,7.4,,1-2 hour,Elbert van Strien,"Ben Hopkins, Elbert van Strien","Elijah Wolf, Sam Hazeldine, Thekla Reuten, Emun Elliott",,5.9,,,3.0,3.0,,2020-09-19,2021-02-28,1059.0,162.0,1,1,False,2021
Miss Baek,,"Korean Movies,Dramas",Korean,Movie,7.9,,1-2 hour,Ji-won Lee,Ji-won Lee,"Hee-joon Lee, Jun Suk-ho, Si-ah Kim, Han Ji-min",Not Rated,6.6,,,10.0,16.0,,2018-10-11,2021-02-28,814.0,871.0,1,1,False,2021
Old Marine Boy,,"Korean Movies,Documentary Films",Korean,Movie,8.4,,1-2 hour,Mo-young Jin,,"Myoungho Park, Cheolhoon Park, Cheoljoon Park, Soonhee Kim",,6.9,,,,,,,2021-02-28,7.0,,1,1,True,2021
Ordinary People,,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,4.2,,1-2 hour,Robert Redford,"Alvin Sargent, Judith Guest","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",R,7.7,89.0,86.0,19.0,14.0,,1980-09-19,2021-02-28,47265.0,14772.0,1,1,False,2021
Outdoor Begins,,"Korean Movies,Comedies,Horror Movies,Horror Comedies",Korean,Movie,7.4,,1-2 hour,Jinseung Lim,"Jinseung Lim, Min-suk Kang","Yoo-Mi Lee, Young-geun Hong, Deok-jae Jo, Song-Ha Yeon",,4.8,,,,,,2017-03-04,2021-02-28,6.0,1457.0,1,1,True,2021
Paths of the Soul,,"Chinese Movies,Dramas,Mainland Chinese Movies",Tibetan,Movie,8.9,,1-2 hour,Yang Zhang,Yang Zhang,"Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba",Not Rated,7.5,94.0,90.0,5.0,7.0,,2017-06-20,2021-02-28,738.0,1349.0,1,1,False,2021
Promise at Dawn,,"Movies Based on Real Life,Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,French","French, Polish, Spanish, English",Movie,7.4,,> 2 hrs,Eric Barbier,"Romain Gary, Eric Barbier, Marie Eynard","Pierre Niney, Jean-Pierre Darroussin, Didier Bourdon, Charlotte Gainsbourg",,7.2,,,1.0,7.0,,2019-09-06,2021-02-28,2464.0,541.0,1,4,False,2021
Rebel in the Rye,,"Movies Based on Real Life,Dramas,Movies Based on Books,US Movies",English,Movie,3.1,,1-2 hour,Danny Strong,"Kenneth Slawenski, Danny Strong","Kevin Spacey, Nicholas Hoult, Victor Garber, Hope Davis",PG-13,6.7,30.0,46.0,,,,2017-09-15,2021-02-28,8472.0,1262.0,1,1,False,2021
The Return,,"Korean Movies,Dramas",Russian,Movie,4.1,,1-2 hour,Andrey Zvyagintsev,"Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov","Nataliya Vdovina, Konstantin Lavronenko, Ivan Dobronravov, Vladimir Garin",Not Rated,8.0,,82.0,34.0,19.0,,2003-06-25,2021-02-28,42530.0,6458.0,1,1,False,2021
The Rookies,,"Action & Adventure,Chinese Movies,Comedies,Action Comedies,Mainland Chinese Movies",English,Movie,7.9,,1-2 hour,,"William Blinn, Rita Lakin","Sam Melville, Georg Stanford Brown, Gerald S. O'Loughlin, Kate Jackson",,6.7,,,,,,1972-03-07,2021-02-28,834.0,17890.0,1,1,False,2021
Snatch Up,,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,8.0,,1-2 hour,Joon-Hyeong Heo,Joon-Hyeong Heo,"Kwang-ryul Jun, Oh Jeong-Se, Kyeong-Yeong Lee, Mu-Yeol Kim",,6.0,,,,,,2018-04-12,2021-02-28,52.0,1053.0,1,1,False,2021
Stray,,"Horror Movies,Russian Movies,Supernatural Horror Movies",English,Movie,7.3,,1-2 hour,Joe Sill,"Alex Theurer, J.D. Dillard, Joe Sill","Karen Fukuhara, Christine Woods, Ross Partridge, Miyavi",Not Rated,4.8,56.0,54.0,,,,2019-04-01,2021-02-28,688.0,699.0,1,1,False,2021
Stand by Me,,"Korean Movies,Dramas",English,Movie,4.1,,1-2 hour,Rob Reiner,"Bruce A. Evans, Stephen King, Raynold Gideon","Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",R,8.1,91.0,75.0,5.0,11.0,,1986-08-22,2021-02-28,364302.0,12609.0,1,1,False,2021
Tea Pets,,"Children & Family Movies,Chinese Movies,Comedies,Family Features,Family Comedies,Mainland Chinese Movies",Chinese,Movie,7.7,,1-2 hour,Gary Wang,Gary Wang,"Guanlin Ji, Jason Kesser",,5.6,,,,1.0,,2020-01-14,2021-02-28,199.0,411.0,1,1,False,2021
A Tiger In Winter,,"Korean Movies,Dramas",Korean,Movie,8.1,,1-2 hour,Kwang-kuk Lee,Kwang-kuk Lee,"Seung-gil Jeong, Hyun-Jung Go, Ye-eun Kim, Jin-wook Lee",,6.3,,,,1.0,,2018-04-12,2021-02-28,69.0,1053.0,1,1,False,2021
The Three Little Pigs,,"Children & Family Movies,Chinese Movies,Animal Tales,Comedies,Action Comedies,Family Comedies,Mainland Chinese Movies",English,Movie,7.9,,1-2 hour,,"Paul Leadon, Roddy Lee, Roz Phillips","Ric Herbert, Joanna Moore, Lee Perry",Not Rated,5.8,,,,,,,2021-02-28,34.0,,1,1,True,2021
Wonderstruck,,"Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies","English, Spanish",Movie,3.6,,1-2 hour,Todd Haynes,Brian Selznick,"James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith",PG,6.2,68.0,71.0,1.0,33.0,,2017-10-20,2021-02-28,9533.0,1227.0,1,2,False,2021
Keys To The Heart,,"Korean Movies,Comedies",Korean,Movie,8.4,,> 2 hrs,Sung-Hyun Choi,Sung-Hyun Choi,"Sung-ryung Kim, Jung-min Park, Lee Byung-Hun, Han Ji-min",,7.5,77.0,,,1.0,,2018-01-26,2021-02-28,825.0,1129.0,1,1,False,2021
Intimate Strangers,,"Korean Movies,Comedies",French,Movie,6.4,,1-2 hour,Patrice Leconte,"Jérôme Tonnerre, Patrice Leconte","Fabrice Luchini, Sandrine Bonnaire, Anne Brochet, Michel Duchaussoy",R,7.0,86.0,71.0,,3.0,,2004-09-03,2021-02-28,4813.0,6022.0,1,1,False,2021
Homme Fatale,,"Social Issue Dramas,Korean Movies,Comedies,Period Pieces",Korean,Movie,8.4,,1-2 hour,Da-Jung Nam,Da-Jung Nam,"Jisu Choi, Jun-Ho Lee, Jung So-Min, Gwi-hwa Choi",,6.9,,,,,,2019-07-10,2021-02-28,86.0,599.0,1,1,False,2021
Happy Bus Day,,"Dark Comedies,Korean Movies,Comedies,Independent Movies",Korean,Movie,8.4,,1-2 hour,Seung-Won Lee,,Ju-won Lee,,6.8,,,2.0,2.0,,2017-04-21,2021-02-28,27.0,1409.0,1,1,True,2021
Gonjiam: Haunted Asylum,,"Korean Movies,Horror Movies,Supernatural Horror Movies",Korean,Movie,6.3,,1-2 hour,Beom-sik Jeong,"Sang-min Park, Beom-sik Jeong","Wi Ha-Joon, Seung-Wook Lee, Ye-Won Mun, Yoo Je-Yoon",Not Rated,6.3,91.0,,2.0,9.0,,2018-03-28,2021-02-28,5195.0,1068.0,1,1,False,2021
Golden Slumber,,"Action & Adventure,Korean Movies,Movies Based on Books,Action Thrillers",Japanese,Movie,8.1,,1-2 hour,Yoshihiro Nakamura,Kôtarô Isaka,"Yûko Takeuchi, Shihori Kanjiya, Nao Ohmori, Teruyuki Kagawa",,7.1,75.0,,,1.0,,2010-01-30,2021-02-28,1098.0,4047.0,1,1,False,2021
Extreme Job,,"Dark Comedies,Action & Adventure,Korean Movies,Comedies,Crime Action & Adventure,Action Comedies","Korean, Mandarin",Movie,5.4,,1-2 hour,Byeong-heon Lee,Se-yeong Bae,"Lee Hanee, Shin Ha-kyun, Joon-seok Heo, Myoung Gong",Not Rated,7.1,82.0,,7.0,27.0,,2019-06-21,2021-02-28,6757.0,618.0,1,2,False,2021
Default,,"Social Issue Dramas,Korean Movies,Dramas","Korean, English",Movie,8.1,,1-2 hour,Kook-Hee Choi,Seong-min Eom,"Kim Hye-su, Yoo Ah-In, Woo-jin Jo, Joon-ho Huh",Not Rated,6.6,78.0,,3.0,6.0,,2018-11-28,2021-02-28,1007.0,823.0,1,2,False,2021
